@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

weather.symbolic,4,2,weka.classifiers.yby.NB_yby_featureWeight,'',-6923762124666083281,20230517.0557,12,2,1,1,0,50,50,0,0,0.380802,0.413307,76.160448,79.480974,2.122857,1.483608,0.639248,1.061428,0.741804,0.319624,0.639248,0.319624,30.112644,1,1,1,1,0,0,0,0,0.5,1,0.666667,?,1,1,0.5,0.5,0.5,0.5,?,0.5,?,?,1,1,?,0.5,0,0,0,0,0,0,763,2509,1819,100,100,?
weather.symbolic,4,3,weka.classifiers.yby.NB_yby_featureWeight,'',-6923762124666083281,20230517.0557,12,2,1,1,0,50,50,0,0,0.477272,0.640408,95.454464,123.153522,2.122857,3.459406,-1.336549,1.061428,1.729703,-0.668275,0.070756,0.035378,3.333065,1,1,1,1,0,0,0,0,0.5,1,0.666667,?,1,1,0.5,0.5,0.5,0.5,?,0.5,?,?,1,1,?,0.5,0.001,0,0,0,0,0,763,2509,1819,100,100,?
weather.symbolic,4,4,weka.classifiers.yby.NB_yby_featureWeight,'',-6923762124666083281,20230517.0557,12,2,2,0,0,100,0,0,1,0.298147,0.311516,59.62944,59.90607,2.122857,1.04559,1.077267,1.061428,0.522795,0.538633,1.028096,0.514048,48.429856,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,763,2509,1819,100,100,?
weather.symbolic,4,5,weka.classifiers.yby.NB_yby_featureWeight,'',-6923762124666083281,20230517.0557,13,1,1,0,0,100,0,0,1,0.243304,0.243304,60.826028,60.826028,0.736966,0.402214,0.334751,0.736966,0.402214,0.334751,0.334751,0.334751,45.422895,1,1,?,0,?,0,0,0,1,1,1,?,?,1,1,?,?,0,1,1,1,?,?,1,1,1,0,0,0,0,0,0,763,2578,1750,100,100,?
weather.symbolic,4,6,weka.classifiers.yby.NB_yby_featureWeight,'',-6923762124666083281,20230517.0557,13,1,1,0,0,100,0,0,1,0.138501,0.138501,34.625246,34.625246,0.736966,0.215079,0.521887,0.736966,0.215079,0.521887,0.521887,0.521887,70.815605,1,1,?,0,?,0,0,0,1,1,1,?,?,1,1,?,?,0,1,1,1,?,?,1,1,1,0,0,0,0,0,0,763,2578,1750,100,100,?
weather.symbolic,4,7,weka.classifiers.yby.NB_yby_featureWeight,'',-6923762124666083281,20230517.0557,13,1,0,1,0,0,100,0,0,0.517324,0.517324,129.330985,129.330985,0.736966,1.050873,-0.313907,0.736966,1.050873,-0.313907,-0.371068,-0.371068,-50.350784,0,0,?,0,?,0,1,1,?,0,?,?,?,1,0,?,?,1,?,0,?,?,?,1,?,0,0,0,0,0,0,0,763,2578,1750,100,100,?
weather.symbolic,4,8,weka.classifiers.yby.NB_yby_featureWeight,'',-6923762124666083281,20230517.0557,13,1,0,1,0,0,100,0,0,0.616517,0.616517,154.129132,154.129132,0.736966,1.382764,-0.645798,0.736966,1.382764,-0.645798,-0.62414,-0.62414,-84.690463,0,0,?,0,?,0,1,1,?,0,?,?,?,1,0,?,?,1,?,0,?,?,?,1,?,0,0,0,0,0,0,0,763,2578,1750,100,100,?
weather.symbolic,4,9,weka.classifiers.yby.NB_yby_featureWeight,'',-6923762124666083281,20230517.0557,13,1,0,1,0,0,100,0,0,0.631656,0.631656,157.91397,157.91397,0.736966,1.440874,-0.703908,0.736966,1.440874,-0.703908,-0.659139,-0.659139,-89.439562,0,0,?,0,?,0,1,1,?,0,?,?,?,1,0,?,?,1,?,0,?,?,?,1,?,0,0,0,0,0,0,0,763,2578,1750,100,100,?
weather.symbolic,4,10,weka.classifiers.yby.NB_yby_featureWeight,'',-6923762124666083281,20230517.0557,13,1,0,1,0,0,100,0,0,0.574443,0.574443,86.166471,86.166471,1.584963,1.232576,0.352386,1.584963,1.232576,0.352386,0.352386,0.352386,22.233101,?,0,1,1,0,0,?,0,0,?,?,?,?,?,0,?,?,1,?,0,?,?,?,1,?,0,0,0,0,0,0,0,763,2578,1750,100,100,?
weather.symbolic,5,1,weka.classifiers.yby.NB_yby_featureWeight,'',-6923762124666083281,20230517.0557,12,2,1,1,0,50,50,0,0,0.485098,0.641117,97.019582,123.289958,2.122857,3.483379,-1.360522,1.061428,1.741689,-0.680261,0.046783,0.023392,2.203782,1,1,1,1,0,0,0,0,0.5,1,0.666667,?,1,1,0.5,0.5,0.5,0.5,?,0.5,?,?,1,1,?,0.5,0,0,0,0,0,0,763,2509,1819,100,100,?
